0,aims
PZ,bc-so-luong-tau-lmax
Q0,san-xuat-kinh-doanh
Q1,thien-tai-dich-benh
Q2,quan-ly-vat-tu-nong-nghiep
Q3,plant-variety-protection
Q4,ty-le-ntm
Q5,dno
Q6,quan-ly-ung-dung-cong-nghe-cao
Q7,vung-nong-nghiep
Q8,doan-thanh-tra
Q9,danh-muc-con-vat-loai-benh
QA,vaccin
QB,cong-tac-kddv-co-so-xuat-nhap
QC,muc-dich-su-dung-map
QD,executive-direction
QE,open-temporary-locked-account
QF,lock-and-unlock-account
QG,cap-van-ban
QH,agriculture
QI,nong-nghiep
QJ,ptnt-bo-tri-dashboard
QK,quan-ly-vung-trong
QL,chung-virus
QM,easy-to-guess-password
QN,giay-chung-nhan-attp
QO,co-quan-cap-gcn
QP,linh-vuc-trinh-dien-mh
QQ,loai-chung-nhan-nn
QR,loai-doanh-nghiep
QS,trang-thai-trinh-dien-mh
QT,danh-muc-dieu-khoan
QU,chi-tieu-giam-sat
QV,phuong-thuc-thanh-tra
QW,ma-so-vung
QX,nganh-hang
QY,hinh-thuc-quan-ly
QZ,cap-quan-ly
R0,mua-vu-khai-thac
R1,bao-cao-tt-tong-hop
R2,tinh-hinh-san-xuat-tieu-chuan
R3,tinh-hinh-san-xuat-lua-1a
R4,co-so-ha-tang-nghe-ca
R5,quan-ly-han-ngach
R6,chi-tiet-san-xuat
R7,san-luong-thuy-san
R8,nghiep-doan-nge-ca
R9,danh-ba-thuyen-vien
RA,bc-chung-nhan-tskt-attp
RB,nghiep-doan-nghe-ca
RC,tram-quan-trac
RD,edit
RE,dau-hieu-vi-pham
RF,transfer-approve
RG,transfer
RH,bc-theo-thong-tu
RI,xviii-cs-con-giong
RJ,xix-cs-con-giong
RK,bc-dich-benh-dv-tren-can
RL,bao-cao-cong-tac-gm
RM,phu-luc-1
RN,phu-luc-2
RO,phu-luc-3
RP,chuyen-vien
RQ,lanh-dao
RR,van-thu
RS,correction
RT,digital-sign
RU,danh-sach-trang-trai
RV,bc-ket-qua-thanh-tra
RW,ca-nhan-lam-dvttntbc-cn-thu-tinh
RX,ke-khai-chan-nuoi
RY,bc-cs-attp
RZ,screen
S0,view-all-tinh
S1,xu-ly-vi-pham-tap-chat
S2,LOAI_VI_PHAM
S3,LOAI_FILE_DINH_KEM
S4,CO_QUAN_BAN_HANH
S5,CL
S6,KL_HINH_THUC_VP
S7,bc-cs-cn-dat-cn-attp
S8,tong-dan-chan-nuoi
S9,phong-chong-thien-tai
SA,cong-trinh-phong-chong-tt
SB,ket-qua-dau-tu
SC,cong-trinh-thuy-loi
SD,nhu-cau-xay-dung
SE,ho-chua-nuoc
SF,dm-hanh-chinh
SG,cap-tinh
SH,cap-huyen
SI,cap-xa
SJ,cap-thon
SK,get-only-registration-information
SL,get-registration-informatio
SM,danh-sach-tau-chua-kiem-tra
SN,tau-chua-kiem-tra
SO,update-user
SP,them-co-so
SQ,them-cscn
SR,cap-nhat-co-so
SS,cap-nhat-cscn
ST,xoa-co-so
SU,xoa-cscn
SV,thiet-lap-giam-sat-msvt
SW,chuyen-muc-khuyen-nong
SX,nguon-giong
SY,green
SZ,danh-muc-dong
T0,giong-cay
T1,hinh-thuc-canh-tac
T2,tieu-chuan-ap-dung
T3,vu-san-xuat
T4,vung-san-xuat
T5,chua-xu-ly
T6,da-duyet
T7,da-tu-choi
T8,sua-thong-tin-co-so
T9,khieu-nai-dinh-chi-thu-ho-hoi-ma
TA,khieu-nai-msvt-noi-dia
TB,msvt-noi-dia-bi-dinh-chi
TC,nhat-ky-canh-tac
TD,nhat-ky-truy-cap
TE,nop-ho-so-msvt
TF,nop-ho-so
TG,da-cap-ma
TH,dinh-chi
TI,thu-hoi
TJ,bao-cao-co-so
TK,tong-hop
TL,ho
TM,nhan-vien
TN,nhom-tieu-chi
TO,thong-tin-vung-trong
TP,tieu-chi
TQ,quan-ly-nhom-quyen
TR,quan-ly-doan-kiem-tra
TS,quan-ly-nguoi-dung
TT,quan-ly-nong-ho
TU,quan-ly-thong-tin-co-so
TV,thanh-tra-msvt
TW,khieu-nai
TX,xu-ly-ho-so
